Book	Member	Employee	DateOfLoan	DateToReturn	DateReturned	LoanId	Rating	LateDays	LateFee
006008829X	19	9	656	1367	298	15220	9	0	0
0060089296	871	11	411	279	512	7397	6	0	0
0060092971	243	12	533	430	178	15235	3	0	0
0060092971	243	21	1427	67	184	17694	3	0	0
0060163518	964	2	992	105	166	13143	4	0	0
0060163518	964	15	506	614	824	12716	4	0	0
0060185147	939	8	77	770	1483	229	9	0	0
0060187425	891	17	160	426	792	2550	7	0	0
0060192895	714	3	354	522	436	13856	6	0	0
0060192895	714	23	907	1292	619	11119	6	138	23.46
0060192895	997	3	354	522	436	13856	10	0	0
0060192895	997	23	907	1292	619	11119	10	138	23.46
0060193441	625	4	461	1035	98	10747	1	219	37.23
0060193441	625	14	707	829	72	18517	1	0	0
0060196483	630	20	1410	867	331	17369	6	0	0
0060199865	978	12	369	298	864	16103	4	197	33.49
0060199865	978	14	986	678	1100	10115	4	0	0
0060252022	957	20	659	1181	792	13173	6	0	0
0060252022	957	23	58	1288	354	20578	6	0	0
006028305X	729	7	1458	1432	1176	10955	4	0	0
0060289023	492	7	337	1291	171	11900	1	0	0
0060391502	388	13	437	515	545	1969	4	0	0
0060392703	176	15	27	958	102	21643	5	0	0
0060394145	847	13	1418	353	740	18179	8	0	0
0060502304	782	3	276	551	9	4278	5	0	0
0060502304	782	23	637	19	1208	18653	5	0	0
0060505559	459	2	603	164	119	12237	4	0	0
0060505559	459	22	1323	68	469	11209	4	63	10.71
0060505931	842	3	292	786	1149	20621	9	0	0
0060505931	842	14	921	623	793	16676	9	119	20.23
0060505931	842	17	224	1155	563	19356	9	116	19.72
0060505931	842	22	1076	921	1246	10444	9	61	10.37
0060512377	493	1	801	508	299	17254	5	68	11.56
0060521848	84	4	713	1406	868	8403	3	195	33.15
0060524936	53	15	256	465	941	12647	7	88	14.96
0060530286	329	13	1008	1172	231	18403	0	112	19.04
0060530286	329	20	1437	1131	366	15261	0	0	0
0060530286	542	13	1008	1172	231	18403	7	112	19.04
0060530286	542	20	1437	1131	366	15261	7	0	0
0060542128	731	20	304	1349	635	17621	7	0	0
0060558032	913	1	1076	921	432	10180	2	0	0
0060558032	913	2	1230	49	588	13097	2	0	0
0060563893	399	22	122	381	1745	21471	9	320	54.4
0060571314	419	5	217	755	516	732	1	0	0
0060571314	419	12	198	1072	1362	15999	1	276	46.92
0060571314	419	14	437	515	449	18686	1	13	2.21
0060571314	761	5	217	755	516	732	8	0	0
0060571314	761	12	198	1072	1362	15999	8	276	46.92
0060571314	761	14	437	515	449	18686	8	13	2.21
0060571667	549	9	884	482	356	9924	10	0	0
0060591838	204	2	802	254	599	8613	5	0	0
0060591838	204	16	1049	1303	1098	10198	5	0	0
0060591838	204	19	759	988	1357	6233	5	0	0
0060595647	194	9	1220	1355	1021	13013	2	96	16.32
0060595647	194	24	964	70	367	17797	2	0	0
0060598387	78	4	315	81	257	19762	5	0	0
0060598387	78	7	516	193	1475	1717	5	0	0
0060598387	273	4	315	81	257	19762	7	0	0
0060598387	273	7	516	193	1475	1717	7	0	0
0060652861	307	6	1380	190	1380	9767	6	0	0
0060669357	189	13	170	487	1478	1813	6	118	20.06
0060730315	324	13	636	1448	734	10028	9	0	0
0060730315	324	13	1375	815	117	13287	9	0	0
0060801921	461	15	824	1199	212	9562	5	0	0
0060801921	461	22	369	298	545	8285	5	0	0
0060801921	703	15	824	1199	212	9562	10	0	0
0060801921	703	22	369	298	545	8285	10	0	0
0060804955	13	7	381	42	577	15249	9	0	0
0060809337	694	6	795	847	820	3365	9	0	0
0060809736	644	4	730	266	974	5866	1	0	0
0060809752	643	19	1162	562	1162	15666	8	0	0
0060809752	643	20	18	1209	1147	9838	8	0	0
0060910992	218	1	828	224	565	6588	8	0	0
0060923016	153	2	1070	1280	7	20913	1	0	0
0060923016	153	21	590	269	196	6353	1	0	0
0060926228	101	16	139	1211	206	440	9	0	0
0060926228	101	22	1243	501	1138	11614	9	0	0
0060929596	877	2	1146	1138	583	16426	9	25	4.25
0060931078	259	5	1186	1283	1705	16635	2	263	44.71
0060931582	231	4	209	576	96	13618	0	314	53.38
0060931582	231	9	737	896	222	6391	0	0	0
0060931582	440	4	209	576	96	13618	9	314	53.38
0060931582	440	9	737	896	222	6391	9	0	0
0060931957	33	5	88	396	1190	20119	8	0	0
0060931957	33	9	3	120	135	16278	8	0	0
0060932759	690	2	1286	10	637	15902	4	0	0
0060935731	837	18	420	661	1157	8557	4	0	0
0060936649	78	4	369	298	1108	1177	5	0	0
0060936983	185	16	783	432	1408	19080	0	0	0
0060936983	185	20	1230	49	1133	12010	0	67	11.39
0060938293	920	11	617	687	825	3202	2	0	0
0060938293	920	13	740	174	1403	13469	2	0	0
0060950617	981	11	123	1462	1011	5981	3	0	0
0060953071	925	23	1107	354	1107	17502	3	0	0
0060955899	936	14	270	1012	828	16593	4	0	0
0060957271	127	11	507	1236	1388	15836	1	0	0
0060957271	127	23	736	1002	823	15929	1	0	0
0060958324	223	7	901	492	1149	8688	10	0	0
006097169X	389	13	1353	6	506	17810	6	141	23.97
006097169X	389	21	1307	1004	1026	14346	6	0	0
0060974974	838	9	622	1438	852	2377	5	193	32.81
0060974974	838	24	1359	1017	941	11990	5	352	59.84
0060977604	501	7	441	286	269	16145	4	0	0
0060988649	997	19	1053	500	1015	15210	2	0	0
0061000027	608	10	201	979	621	12669	9	0	0
0061002798	414	6	655	322	655	21243	7	0	0
0061002798	414	24	857	1214	580	17399	7	0	0
0061002798	730	6	655	322	655	21243	5	0	0
0061002798	730	24	857	1214	580	17399	5	0	0
0061007137	673	21	359	277	1030	21606	8	0	0
0061009431	662	7	834	36	1133	16035	7	0	0
0061009431	662	9	1347	571	1298	21100	7	0	0
0061011002	34	6	1284	444	374	7968	8	0	0
0061011002	34	7	856	474	220	7234	8	0	0
0061013277	807	16	878	235	429	11697	7	2	0.34
006103018X	577	10	356	636	531	13804	10	0	0
0061041742	519	3	866	1511	1504	18857	4	0	0
0061041742	519	13	705	618	1003	10961	4	0	0
0061043079	476	10	163	984	459	7203	3	0	0
0061043079	476	20	525	1130	314	13494	3	0	0
0061043508	502	23	706	1137	848	7059	1	0	0
0061044741	410	11	1067	731	353	15356	10	0	0
0061044741	410	13	426	619	171	11465	10	277	47.09
0061044741	410	15	30	200	442	14451	10	0	0
006105111X	406	8	1288	1027	277	8009	1	0	0
0061056413	620	2	34	800	677	16434	0	296	50.32
0061056413	620	13	993	1105	1292	10425	0	0	0
0061056413	620	23	113	1166	1485	20069	0	300	51
0061057908	354	4	999	404	1150	15909	10	0	0
0061059048	808	15	15	241	225	10646	8	253	43.01
0061059889	468	4	694	1371	594	2755	2	0	0
006106095X	304	5	1014	1347	1081	13620	5	0	0
0061061980	372	1	1255	1112	876	11867	2	0	0
0061064173	537	2	1381	319	344	9087	9	0	0
0061064173	537	9	1378	1203	1353	13593	9	0	0
0061064173	537	15	441	286	1665	15944	9	303	51.51
0061083259	250	21	451	217	1554	6947	10	355	60.35
006108459X	665	5	487	897	1207	17258	6	0	0
0061090808	694	12	196	945	94	17030	10	0	0
0061093335	212	10	659	1181	355	18689	3	0	0
0061093335	212	20	1150	1520	1522	19821	3	0	0
0061093335	969	10	659	1181	355	18689	5	0	0
0061093335	969	20	1150	1520	1522	19821	5	0	0
006109594X	376	20	770	257	863	18633	1	0	0
0061098825	303	1	1438	219	986	14861	1	15	2.55
0061099341	356	6	545	1049	1464	19601	0	276	46.92
0061099341	356	21	482	1358	911	19666	0	0	0
0062051555	161	19	435	350	426	14311	1	287	48.79
0062051555	161	22	392	1501	1523	1275	1	0	0
0062051555	967	19	435	350	426	14311	9	287	48.79
0062051555	967	22	392	1501	1523	1275	9	0	0
0062501356	49	3	1380	190	1407	21043	10	249	42.33
0062501356	49	6	532	401	985	16273	10	0	0
0062501356	49	12	65	1215	428	194	10	0	0
0062501356	49	15	722	1064	361	7282	10	0	0
0062503952	450	19	1472	653	1280	18341	7	0	0
0062503952	450	22	927	1083	640	17594	7	0	0
0062505319	184	24	255	34	1080	15364	4	0	0
0062505963	65	13	1292	299	944	11375	2	0	0
0062505963	65	14	1099	234	479	5576	2	0	0
0062508156	628	23	262	1245	598	13968	7	320	54.4
0062511254	913	22	657	1255	20	12790	3	0	0
0062513036	252	21	72	726	1108	12603	2	0	0
0062513206	113	5	710	1507	1523	12477	2	0	0
0062513559	451	7	1402	1007	193	10885	6	0	0
0062513559	451	20	1007	456	894	15925	6	0	0
0062548689	787	16	816	776	207	8812	3	0	0
0062548689	787	20	233	609	1371	12206	3	0	0
0064401855	470	16	606	957	427	18457	7	0	0
0064403688	96	1	326	561	348	1695	3	0	0
0064405710	65	8	873	1057	538	15027	10	0	0
0064406008	674	12	177	898	749	10624	2	35	5.95
0064406113	175	17	863	80	257	10882	2	0	0
006440630X	498	24	1148	1485	571	8889	10	0	0
0064406822	989	11	473	881	112	15537	0	44	7.48
0064406822	989	13	986	678	745	17173	0	0	0
0064406822	989	18	1291	365	1291	21858	0	0	0
0064407853	690	4	63	123	1181	11153	9	0	0
0064407853	690	19	325	1285	669	13737	9	0	0
0064408086	480	1	660	1350	1259	11992	4	0	0
0064408086	480	10	86	337	268	20239	4	0	0
0064408086	480	14	1375	815	1349	11403	4	70	11.9
0064408566	751	4	376	964	138	15708	9	0	0
0064408566	751	7	698	276	1246	14999	9	21	3.57
0064409457	122	22	480	496	662	19322	6	0	0
0064410358	360	6	131	911	930	13499	2	0	0
0064410358	360	20	199	1089	1188	14079	2	0	0
0064410358	360	24	858	256	833	15238	2	0	0
0064431290	768	2	118	1075	1628	16068	10	341	57.97
0064431290	768	7	1185	1272	276	6526	10	0	0
0064441431	932	8	1143	884	931	19461	7	0	0
0064441431	932	21	1102	519	1242	20716	7	0	0
0064451666	726	17	343	613	1286	13927	3	0	0
0064451666	726	18	1306	346	1225	20575	3	0	0
0064470687	543	2	660	1350	1131	7709	3	0	0
0064470687	543	4	14	62	261	17564	3	0	0
0064471055	911	10	1315	116	1396	9546	2	0	0
0064472086	82	21	573	51	365	15258	5	0	0
0066210232	208	1	1483	1372	788	15503	10	90	15.3
0066210232	208	19	66	467	669	12270	10	0	0
0066210801	592	24	431	848	431	1399	7	0	0
0070450927	187	4	288	440	1038	21891	9	0	0
007051092X	323	7	868	223	429	11811	7	22	3.74
007051092X	323	15	761	612	763	18210	7	192	32.64
007051092X	323	20	712	1268	220	5751	7	0	0
007051092X	836	7	868	223	429	11811	7	22	3.74
007051092X	836	15	761	612	763	18210	7	192	32.64
007051092X	836	20	712	1268	220	5751	7	0	0
0071347984	995	23	1439	872	1439	21983	2	0	0
0071373616	478	10	598	370	1293	11672	3	0	0
0071414975	881	7	1104	414	1549	5620	0	320	54.4
007881796X	180	13	1372	312	1204	14584	7	0	0
007881796X	180	17	194	673	463	15255	7	42	7.14
0091816874	926	2	1091	962	148	21188	7	0	0
0091816874	926	10	492	20	370	1631	7	0	0
0091816874	973	2	1091	962	148	21188	10	0	0
0091816874	973	10	492	20	370	1631	10	0	0
0091839297	863	6	97	946	1373	558	2	0	0
0091842050	37	19	1438	219	1030	21925	8	0	0
009925672X	586	3	167	1412	1103	4831	8	0	0
009925672X	586	7	1486	875	1390	20424	8	0	0
009925672X	586	17	669	147	628	15471	8	0	0
009925672X	586	22	913	104	695	11385	8	297	50.49
0099287927	332	16	86	337	1471	16217	8	0	0
012487570X	667	21	399	563	145	21399	6	132	22.44
0130173231	613	14	142	640	927	753	3	0	0
0130173231	613	16	980	205	710	9400	3	0	0
0135295467	396	8	405	748	573	21546	3	208	35.36
0137089171	98	6	1061	544	470	8245	10	0	0
0137089171	98	18	350	893	1271	14927	10	177	30.09
0138030405	108	14	1094	247	1480	17662	2	0	0
0138030405	108	14	1095	788	846	19380	2	0	0
0140028757	489	15	251	633	837	15667	8	0	0
0140042229	952	7	301	1154	1331	9386	8	0	0
0140043128	830	19	826	1173	1079	18902	4	0	0
0140048987	923	5	726	389	1446	13313	4	152	25.84
0140049983	937	16	829	1437	1073	18455	2	0	0
0140049983	937	24	464	550	1312	1526	2	0	0
0140054324	336	20	961	780	210	17644	10	0	0
0140065008	586	20	681	69	1223	8652	8	0	0
0140067779	528	1	30	200	915	8775	7	0	0
0140074511	837	3	1383	462	808	12201	1	262	44.54
0140074511	837	10	1261	447	1230	11307	1	0	0
0140076565	548	10	1212	660	545	15771	0	0	0
0140076565	548	11	532	401	164	15115	0	0	0
0140076565	548	18	1174	1440	1271	6396	0	0	0
0140076654	120	3	428	146	563	18562	4	0	0
0140076654	120	7	1066	1176	1151	11797	4	0	0
0140076654	561	3	428	146	563	18562	9	0	0
0140076654	561	7	1066	1176	1151	11797	9	0	0
0140081674	171	24	374	87	1163	18893	3	0	0
0140089012	210	7	505	1163	1229	4422	7	0	0
0140089012	210	20	189	78	1639	18738	7	221	37.57
0140099271	133	12	1365	1050	49	20995	10	0	0
0140099271	133	21	194	673	1050	16224	10	0	0
0140099271	133	23	930	1333	734	16830	10	0	0
0140109595	20	11	14	62	1123	9859	5	0	0
014011369X	325	4	24	625	356	19099	9	0	0
014011369X	325	22	152	970	280	8367	9	0	0
0140189394	838	7	1062	39	10	18533	6	145	24.65
0140189394	838	12	170	487	574	19978	6	0	0
0140231595	818	1	198	1072	1445	668	7	0	0
0140236120	519	2	653	629	653	15282	0	0	0
0140236120	519	14	606	957	187	12098	0	313	53.21
0140236201	912	8	1190	1242	1190	14344	10	0	0
0140237747	473	6	659	1181	1160	13787	8	0	0
0140237747	473	10	409	1126	409	1326	8	0	0
0140238530	402	9	508	914	1359	19269	9	0	0
0140245774	84	23	1192	2	84	15345	2	0	0
0140250948	688	11	985	1095	1169	9775	3	0	0
0140259708	154	9	958	1228	853	7434	1	0	0
0140259708	154	17	1321	1423	749	21438	1	0	0
0140264795	421	11	35	554	1443	17204	1	0	0
0140264795	421	24	593	796	360	3343	1	0	0
0140264795	962	11	35	554	1443	17204	7	0	0
0140264795	962	24	593	796	360	3343	7	0	0
0140266445	647	18	1112	470	408	8870	6	0	0
0140266771	663	1	1140	760	177	19147	5	0	0
0140266909	244	2	663	709	1470	17420	6	0	0
0140266909	244	4	427	1084	824	8422	6	0	0
0140266909	244	5	253	1093	733	11141	6	0	0
0140277447	506	3	977	1326	977	14557	2	0	0
0140278826	96	1	1475	684	538	19171	7	0	0
0140279474	67	13	485	326	1466	1611	5	0	0
0140280510	563	23	142	640	334	16532	6	0	0
0140282653	470	17	323	754	323	4620	8	0	0
0140282777	248	1	1461	158	1236	14772	3	0	0
0140283404	633	9	826	1173	818	12949	8	254	43.18
0140283641	814	12	993	1105	823	9615	1	0	0
0140295054	148	2	1355	98	324	12634	7	0	0
0140295054	148	6	1334	83	837	21857	7	0	0
0140295054	148	18	1010	1018	1277	4686	7	0	0
0140301739	339	24	173	944	410	12062	8	279	47.43
0140302050	212	4	418	1042	308	15720	5	0	0
0140302050	212	5	1101	1419	1215	10262	5	0	0
0140302050	212	19	710	1507	1518	2857	5	0	0
0140306897	802	18	413	1167	1008	10677	1	0	0
0140314067	317	2	669	147	680	21551	9	0	0
0140314067	317	4	746	1338	576	18409	9	0	0
0140329358	127	23	1138	331	833	6713	7	0	0
014034893X	566	9	1052	577	1687	15289	4	141	23.97
014034893X	566	22	241	1454	64	16985	4	325	55.25
0140348956	706	7	1339	435	24	9857	7	0	0
0140351302	727	8	1327	868	490	15237	7	0	0
0140366830	683	11	1072	937	677	15617	9	0	0
0140366830	683	16	695	728	817	21541	9	0	0
0140366830	890	11	1072	937	677	15617	2	0	0
0140366830	890	16	695	728	817	21541	2	0	0
0140371125	333	14	836	1323	772	19700	1	0	0
0140373365	902	14	449	597	1049	17985	7	0	0
0140373365	902	20	128	131	349	19443	7	211	35.87
0140375120	908	16	1180	1366	215	18515	8	0	0
0140380361	704	10	628	1321	987	12524	3	0	0
0140389113	349	8	960	232	1544	15592	2	344	58.48
0140432914	268	1	642	903	218	9102	5	0	0
0140433929	953	10	1155	464	348	14207	1	98	16.66
0140440372	881	5	768	838	330	13360	8	0	0
0140440372	881	11	720	91	1069	21477	8	307	52.19
0140440372	881	22	211	1023	638	12208	8	0	0
0140440925	911	1	180	1227	1033	11474	0	0	0
0140440925	911	2	991	520	727	15607	0	0	0
0140440925	911	5	686	617	489	20213	0	0	0
0140441549	565	4	741	1150	286	21287	2	0	0
0140441581	665	20	1122	330	388	21811	6	0	0
0140442189	168	1	941	320	768	11043	9	0	0
0140442189	168	13	372	1488	986	18247	9	0	0
014044243X	635	22	468	1183	363	16374	1	0	0
014044291X	895	8	625	975	531	7845	5	0	0
014044291X	895	19	415	481	1013	1349	5	0	0
0140442936	120	23	64	1047	1293	13562	5	0	0
0140444165	925	1	998	207	817	13199	7	0	0
0140444165	925	17	266	413	677	22051	7	0	0
0140444572	93	18	274	1446	383	11775	0	0	0
0140511520	26	8	349	1149	60	8152	0	0	0
0140511520	26	8	794	103	794	14725	0	0	0
0140511520	26	9	1048	877	20	16058	0	0	0
0140511520	611	8	349	1149	60	8152	10	0	0
0140511520	611	8	794	103	794	14725	10	0	0
0140511520	611	9	1048	877	20	16058	10	0	0
0140512535	12	11	818	40	818	19976	4	0	0
0140512535	12	17	494	936	556	16640	4	0	0
0140512535	609	11	818	40	818	19976	3	0	0
0140512535	609	17	494	936	556	16640	3	0	0
014056232X	166	20	234	1308	1307	3116	7	0	0
0140620427	804	3	1474	690	663	21503	0	0	0
0140620427	804	19	1093	1054	208	13818	0	0	0
014070714X	32	7	1443	213	227	10607	6	0	0
014070714X	32	22	1150	1520	205	6134	6	0	0
0140862129	494	21	1002	1077	292	19266	8	0	0
0141306351	32	2	228	52	241	18246	2	0	0
0141306351	32	3	1212	660	991	19285	2	0	0
0141309199	275	4	331	1257	1357	12042	5	25	4.25
0141309199	275	18	818	40	167	9606	5	0	0
0141311096	430	12	752	582	1353	11905	4	322	54.74
0141311096	430	17	1281	393	371	21128	4	0	0
0141311398	569	1	1292	299	1352	11736	7	0	0
0141311908	949	18	324	347	410	19813	8	0	0
0142000949	394	3	990	1271	646	9027	0	0	0
0142000949	394	24	42	56	710	128	0	0	0
0142000949	805	3	990	1271	646	9027	4	0	0
0142000949	805	24	42	56	710	128	4	0	0
0142001007	247	10	531	680	760	21322	4	0	0
0142002623	675	18	130	862	742	13347	9	0	0
0142003786	856	6	462	913	1231	17680	3	0	0
0142180106	216	12	397	616	1386	14266	5	0	0
0142302163	374	7	1082	291	1056	19863	5	0	0
0142302163	374	18	96	693	90	16696	5	0	0
0142501034	230	6	10	275	843	13293	2	0	0
0143034987	772	1	509	826	262	1696	0	0	0
0151001812	351	19	855	771	1401	12988	5	0	0
0151001812	351	23	1231	7	697	7346	5	202	34.34
0151001812	756	19	855	771	1401	12988	2	0	0
0151001812	756	23	1231	7	697	7346	2	202	34.34
0151003092	635	5	286	1119	948	9618	6	0	0
0151004218	672	4	252	809	1001	816	9	0	0
015100496X	818	14	347	912	951	21343	9	0	0
0151006261	302	6	193	1005	1265	9632	5	0	0
0151007039	516	21	1323	68	368	10104	2	0	0
0151907366	1	16	972	1424	408	10204	1	0	0
0151907366	1	19	321	1393	364	9275	1	0	0
0151907366	348	16	972	1424	408	10204	5	0	0
0151907366	348	19	321	1393	364	9275	5	0	0
0152046151	414	21	1393	71	1173	9751	4	0	0
0152047336	240	24	389	606	671	7295	7	0	0
0152241310	838	8	668	457	267	13298	3	0	0
0152241310	838	14	282	208	938	920	3	0	0
0152241310	838	22	669	147	628	18410	3	0	0
0152241310	886	8	668	457	267	13298	7	0	0
0152241310	886	14	282	208	938	920	7	0	0
0152241310	886	22	669	147	628	18410	7	0	0
0156004011	81	16	536	398	926	6974	2	0	0
0156011581	456	18	1300	1164	943	16900	6	138	23.46
0156013983	429	16	941	320	388	10059	8	0	0
0156028778	284	1	1326	1460	684	9266	6	0	0
0156028778	284	19	1093	1054	1437	8425	6	0	0
0156029073	980	3	925	1264	846	9247	4	0	0
0156029073	980	24	1144	714	708	9442	4	0	0
0156681404	327	14	920	1340	1051	4076	6	0	0
0156881802	866	20	1333	879	898	18706	2	0	0
0156881802	866	21	204	841	1331	13016	2	216	36.72
0192100386	814	2	1044	894	145	12274	1	0	0
0192750542	939	4	338	1500	1518	10395	5	0	0
0192813617	297	24	699	1223	879	15764	10	0	0
0192815431	752	24	117	954	388	361	7	0	0
0192827596	361	13	390	1463	315	13263	6	0	0
0192832247	637	22	45	532	481	3167	3	0	0
0192835203	212	1	554	338	1150	12019	7	0	0
0192838865	825	12	38	1207	85	19504	5	25	4.25
0194216373	684	1	528	1387	1025	1766	8	0	0
0194216373	684	3	386	812	433	13977	8	178	30.26
0195090446	300	10	570	369	1372	12065	3	189	32.13
0195090446	300	23	663	709	690	2585	3	0	0
0195092627	819	14	521	1399	266	10452	3	0	0
0195813898	176	5	831	1433	1079	15996	9	0	0
0198811020	112	12	90	345	519	10969	6	0	0
0201059592	959	21	349	1149	47	18761	6	82	13.94
020135358X	39	5	82	1210	687	11516	7	27	4.59
0201354934	106	17	709	162	63	19704	9	116	19.72
0201354934	106	18	1316	688	960	8346	9	0	0
020719839X	569	12	1150	1520	1506	8617	2	0	0
020719839X	569	21	1419	407	959	9996	2	0	0
020719839X	888	12	1150	1520	1506	8617	10	0	0
020719839X	888	21	1419	407	959	9996	10	0	0
0224020374	214	7	655	322	753	2540	3	0	0
0224020374	214	14	945	392	1618	16180	3	129	21.93
0226317641	683	16	1116	1518	1553	14174	5	235	39.95
0226391868	177	3	424	565	700	12528	2	0	0
0226391868	177	23	395	891	1286	12089	2	0	0
0226583570	817	16	1112	470	943	11581	7	0	0
0231115431	205	22	674	273	215	19230	4	0	0
023399226X	19	18	350	893	1048	10355	4	219	37.23
0237519984	378	4	98	1208	675	296	1	0	0
0241122201	871	16	871	1032	619	11324	4	0	0
0261102362	437	20	1492	1099	807	17697	10	0	0
0261102656	753	15	346	8	580	10315	5	0	0
0262024616	186	21	405	748	1346	17528	4	61	10.37
0262024616	186	21	432	1222	52	9418	4	0	0
0262024616	935	21	405	748	1346	17528	2	61	10.37
0262024616	935	21	432	1222	52	9418	2	0	0
0263175111	757	2	1124	431	1484	13666	5	0	0
0263175111	757	24	1123	1013	1483	15387	5	0	0
0263180573	741	14	1323	68	84	21774	8	5	0.85
0263180573	741	20	497	566	695	21492	8	98	16.66
0263792951	76	8	717	686	1224	18690	10	0	0
0263792951	76	10	797	1044	1127	9427	10	0	0
0263797635	35	3	1435	38	495	20593	6	0	0
0263797635	35	8	434	167	526	8421	6	0	0
0299165108	645	1	106	268	768	330	6	0	0
0300064772	108	6	1330	402	151	10731	7	0	0
0300064772	108	8	1475	684	1242	20890	7	0	0
0300087152	538	4	448	869	1218	8543	7	0	0
0300087152	538	20	1078	985	693	18071	7	151	25.67
0306804751	174	10	962	188	834	10231	2	0	0
0306804751	174	17	1179	59	170	16968	2	0	0
0306806975	429	9	674	273	1439	15992	8	0	0
0306810336	399	12	820	385	343	13783	9	93	15.81
0306811596	835	2	1336	118	611	9639	4	0	0
0306811596	835	18	642	903	849	14588	4	40	6.8
0307020215	692	4	106	268	275	21768	4	0	0
0307020231	439	22	1055	901	1105	15086	4	0	0
0307061116	951	21	97	946	75	11389	4	72	12.24
0307082857	744	1	1338	1132	1131	15124	9	0	0
0307103439	420	10	535	24	442	1808	2	0	0
0307104001	107	22	108	1388	507	21314	4	0	0
0307104842	898	18	67	1220	583	11910	7	0	0
0307116212	628	15	850	994	1009	9707	10	0	0
030711936X	134	11	834	36	76	10800	1	0	0
030711936X	134	13	500	854	512	1667	1	0	0
030711936X	134	19	819	468	1444	6393	1	0	0
030711936X	134	21	1368	1118	461	13589	1	0	0
030711936X	569	11	834	36	76	10800	2	0	0
030711936X	569	13	500	854	512	1667	2	0	0
030711936X	569	19	819	468	1444	6393	2	0	0
030711936X	569	21	1368	1118	461	13589	2	0	0
030711936X	621	11	834	36	76	10800	2	0	0
030711936X	621	13	500	854	512	1667	2	0	0
030711936X	621	19	819	468	1444	6393	2	0	0
030711936X	621	21	1368	1118	461	13589	2	0	0
0307119408	103	21	1343	37	413	9600	1	0	0
030712004X	552	6	714	1086	53	16275	7	0	0
0307124517	864	11	1468	1197	1489	11245	9	0	0
0307213064	780	9	422	568	372	1363	2	0	0
0307213064	780	12	400	827	52	20522	2	0	0
