ISBN	BookTitle	BookAuthor	YearOfPublication	Publisher	Pagenumber	Issue	Genre	Dimensions	BookLanguage
0006709931	The Tree That Sat Down: Part 1 of \\"The Magic Woodland Trilogy\\" (Lions)	Beverley Nichols	1985	HarperCollins Publishers	612	10	20.96 x 26.04	ENG	mystery
0006710263	The Magic Woodland Trilogy: The Stream That Stood Still (Lions)	Beverley Nichols	1984	HarperCollins Publishers	47	20	20.96 x 26.04	ENG	true crime
0006713602	The Donkey Rustlers (Lions)	Gerald Durrell	1989	HarperCollins Publishers	190	22	20.96 x 26.04	FR	math
0006717837	It's My Life (Tracks)	Robert Leeson	1982	HarperCollins Publishers	426	19	20.96 x 26.04	ENG	diary
0006751032	The Butterfly Lion	Michael Morpurgo	1996	Collins	138	13	20.96 x 26.04	ENG	young adult
0006751504	The Secret Life of Sally Tomato	Jean Ure	2001	Collins	54	5	20.96 x 26.04	ENG	encyclopedia
0006908896	Alfred Hitchcock and the Three Investigators in The Mystery of the Coughing Dragon	Nick West	1978	HarperCollins Publishers	47	15	20.96 x 26.04	ENG	children
0006915612	Three Go to the Chalet School (The Chalet School Series)	Elinor Brent-Dyer	2000	HarperCollins UK	48	19	20.96 x 26.04	FR	comic book
0006917348	Myst Dancing De Ah25 3in	William Arden	1980	HarperCollins Publishers	323	10	20.96 x 26.04	CRO	crime
0006924034	Grail Quest.Bk.3: Gateway of Doom	J.H. Brennan	1984	HarperCollins Publishers	280	13	20.96 x 26.04	ENG	business/economics
0007100418	Squirrel Goes Skating (The Tales of Little Grey Rabbit)	Alison Uttley	2001	Picture Lions	252	21	20.96 x 26.04	FR	classic
0007100922	Five Photos of My Wife	Agnes Desarthe	2001	Flamingo	588	13	20.96 x 26.04	ENG	self help
0007100930	Good Intentions	Agnes Desarthe	2002	Flamingo	382	5	12.70 x 12.70	ENG	self help
0007100957	Good Intentions	Agnes Desarthe	2002	Flamingo	141	6	20.96 x 26.04	ENG	coming of age
0007101953	At Ruby's	Frank DeLaney	2001	HarperCollins Publishers	587	15	20.96 x 26.04	ENG	romance
0007103344	Paganism	Vivianne Crowley	2001	Thorsons Publishers	151	21	20.96 x 26.04	ENG	home and garden
0007105940	Mary George of Allnorthover	Lavinia Greenlaw	2002	HarperCollins UK	530	25	12.70 x 12.70	ENG	young adult
0007108648	Whizzard (Tales of the Dark Forest S.)	Steve Barlow	2003	Trafalgar Square Books	354	3	17.15 x 16.83	CRO	business/economics
0007110162	Zen	Martine Batchelor	2001	Thorsons Publishers	580	8	20.96 x 26.04	ENG	political thriller
0007114788	One for My Baby	Tony Parsons	2001	HarperCollins Publishers	603	2	20.96 x 26.04	ENG	cookbook
0007119046	Little Wolf's Handy Book of Peoms	Ian Whybrow	2002	Collins	281	10	20.96 x 26.04	FR	suspense
000712032X	Rumi: Hidden Music	Maryam Mafi	2002	Thorsons Publishers	553	9	20.96 x 26.04	SP	textbook
0007128568	Calypso Dreaming	Charles Butler	2002	Collins Voyager	488	18	20.96 x 26.04	ENG	diary
0007134495	Parzival and the Stone from Heaven: A Grail Romance Retold for Our Time	Lindsay Clarke	2002	Thorsons Publishers	491	10	20.96 x 26.04	ENG	philosophy
0007141076	Unless: A Novel	Carol Shields	2002	Fourth Estate	687	21	20.96 x 26.04	FR	home and garden
0007143451	One Hundred Shades of White	Preethi Nair	2003	HarperCollins	571	18	20.96 x 26.04	ENG	dictionary
0007144350	Collins Complete Works of Oscar Wilde (Collins Classics S.)	Oscar Wilde	2003	HarperCollins Publishers	191	9	12.70 x 12.70	SP	thriller
0007155093	The Essential Spike Milligan	Eddie Izzard	2002	Fourth Estate	53	23	20.96 x 26.04	ENG	satire
0007163541	The Bride Stripped Bare	Anonymous	2004	Perennial	649	17	20.96 x 26.04	ENG	autobiography
0007163584	365 Nirvana Here and Now: Living Every Moment in Enlightenment	Josh Baran	2003	Thorsons Publishers	597	24	20.96 x 26.04	ENG	art/architecture
002008823X	FRANCHISE AFFAIR	Josephine Tey	1988	Scribner Paper Fiction	328	5	20.96 x 26.04	ENG	math
0020095007	The Deaf Smith Country Cookbook: Natural Foods for Family Kitchens	Marjorie Winn. Ford	1973	Simon &amp; Schuster	46	6	20.96 x 26.04	ENG	true crime
0020125305	Sniglets (Snig'lit : Any Word That Doesn't Appear in the Dictionary, But Should)	Rich Hall	1984	Collier Books	554	24	20.96 x 26.04	FR	textbook
0020125607	More Sniglets: Any Word That Doesn't Appear in the Dictionary, but Should	Rich Hall	1985	Simon &amp; Schuster	203	20	20.96 x 26.04	FR	suspense
0020133405	Cassell's Concise Latin-English, English-Latin Dictionary	D. P.  Simpson	1987	John Wiley &amp; Sons	580	24	20.96 x 26.04	ENG	drama
0020136609	EXPERIENCE AND EDUCATION	John Dewey	1963	Scribner Paper Fiction	125	9	20.96 x 26.04	ENG	encyclopedia
0020150806	A State of Independence	Caryl Phillips	1988	Collier Books	335	23	20.96 x 26.04	ENG	crafts/hobbies
0020165609	Where You'll Find Me and Other Stories	Ann Beattie	1987	Simon &amp; Schuster	267	10	20.96 x 26.04	ENG	science
0020191200	A Night at the Movies: Or, You Must Remember This (Collier fiction)	Robert Coover	1988	Simon &amp; Schuster	213	19	12.70 x 12.70	ENG	home and garden
0020199058	Joshua and the children: A parable	Joseph F Girzone	1991	Maxwell Macmillan International	691	22	20.96 x 26.04	FR	graphical novel
0020223722	HOW GREEN WAS MY VALLEY	Richard Llewellyn	1992	Scribner Paper Fiction	264	25	20.96 x 26.04	FR	coming of age
0020281455	Mr. Field's Daughter: A Novel	Richard Bausch	1990	Simon &amp; Schuster	331	15	20.96 x 26.04	CRO	diary
0020288905	HOW TO IMPROVE YOUR CHESS (PRIMARY)	I. A. Horowitz	1972	Touchstone	342	23	20.96 x 26.04	ENG	anthology
0020303750	Jerry Baker's Flowering Garden	Jerry Baker	1990	Simon &amp; Schuster	471	15	12.70 x 12.70	ENG	diary
0020332858	Laurence Olivier	Anthony Holden	1990	Collier Books	93	9	20.96 x 26.04	ENG	comic book
0020404808	O YE JIGS &amp; JULEPS!	Virginia cary Hudson	1987	Scribner	640	18	20.96 x 26.04	FR	self help
0020426917	LOTUS CAVES	John Christopher	1992	Simon Pulse	385	3	17.15 x 16.83	ENG	encyclopedia
0020446500	Z for Zachariah	Robert C. O'Brien	1987	Simon Pulse	441	22	12.70 x 12.70	ENG	action and adventure
0020518307	The Snows of Kilimanjaro and Other Stories (A Scribner classic)	Ernest Hemingway	1982	Simon &amp; Schuster	189	9	20.96 x 26.04	SP	children
0020518706	The Sun Also Rises (A Scribner classic)	Ernest Hemingway	1982	Simon &amp; Schuster	41	10	20.96 x 26.04	SP	diary
0020519605	A Moveable Feast (Scribner Classic)	Ernest Hemingway	1983	Simon &amp; Schuster	381	17	20.96 x 26.04	SP	thriller
0020545304	SHILLING FOR CANDLES	Josephine Tey	1988	Scribner Paper Fiction	529	8	20.96 x 26.04	FR	children
0020545401	MISS PYM DISPOSES	Josephine Tey	1988	Scribner Paper Fiction	198	18	20.96 x 26.04	ENG	thriller
0020633505	The New Age Herbalist: How to Use Herbs for Healing Nutrition Body Care and Relaxation	Richard Mbey	1988	Simon &amp; Schuster	432	2	20.96 x 26.04	ENG	action and adventure
0020812000	Creative brooding	Robert Arnold Raines	1977	Collier Books	247	10	12.70 x 12.70	ENG	math
0020869606	That Hideous Strength (A Modern Fairy-Tale for Grownups)	C.S. Lewis	1987	Scribner Paper Fiction	261	18	20.96 x 26.04	GER	historical fiction
0020931808	Einstein's Space and Van Gogh's Sky: Physical Reality and Beyond	Lawrence Leshan	1983	Simon &amp; Schuster	249	6	20.96 x 26.04	SP	poetry
0020960808	The Natural Superiority of Women	Ashley Montagu	1979	Collier Books	257	15	20.96 x 26.04	ENG	biography
0020973403	Airborne: A Sentimental Journey	William F Buckley	N/A	Simon Schuster Trade	532	7	20.96 x 26.04	ENG	encyclopedia
0023018909	Masterpieces of the drama	Alexander W Allison	1974	Macmillan	91	16	20.96 x 26.04	ENG	satire
0023054506	The Church of Our Fathers	Roland Bainton	1996	Prentice Hall	650	9	20.96 x 26.04	ENG	political thriller
0023159111	Cognitive Psychology and Instruction	Roger H. Bruning	1995	Prentice Hall	344	22	20.96 x 26.04	ENG	sports and leisure
002322410X	Plato : Euthyphro, Apology, Crito	F. J. Church	1956	Prentice Hall	634	18	20.96 x 26.04	ENG	poetry
0023342706	Marketing	Joel R Evans	1994	Maxwell Macmillan International	676	4	20.96 x 26.04	ENG	math
0024103659	The Conscious reader	Caroline Shrodes	1992	Macmillan	668	10	20.96 x 26.04	GER	suspense
0024182001	Elements of Style 3ED	William Jr. Strunk	1979	Pearson Higher Education	101	16	20.96 x 26.04	FR	science
0024278254	Literature of the Western World: The Ancient World Through the Renaissance	Brian Wilkie	1992	Prentice Hall	544	9	20.96 x 26.04	ENG	graphical novel
002475630X	Reporting technical information	Kenneth W Houp	1980	Collier Macmillan	144	19	20.96 x 26.04	ENG	review
0025180401	AIRBORNE	William F Buckley	1976	Scribner	50	13	20.96 x 26.04	ENG	crime
0025196359	BARBARA BUSH : A Memoir	Barbara Bush	1994	Scribner	149	17	20.96 x 26.04	ENG	horror
0025225804	Cassell's Latin Dictionary : Latin-English, English-Latin	D. P.  Simpson	1977	John Wiley &amp; Sons	552	12	20.96 x 26.04	ENG	math
0025256602	Richard Carvel	Winston Churchill	1914	Simon &amp; Schuster	122	21	20.96 x 26.04	ENG	horror
002542730X	Politically Correct Bedtime Stories: Modern Tales for Our Life and Times	James Finn Garner	1994	John Wiley &amp; Sons Inc	409	12	20.96 x 26.04	GER	thriller
0025430807	Arthur Rackham	Fred Gettings	1976	Macmillan	490	7	20.96 x 26.04	ENG	short story
0025439456	JOSHUA AND THE CHILDREN	Joseph F. Girzone	1989	Scribner	202	18	20.96 x 26.04	ENG	home and garden
0025992910	The Pga Manual of Golf: The Professional's Way to Play Better Golf	Gary Wiren	1991	John Wiley &amp; Sons Inc	680	13	12.70 x 12.70	SP	suspense
0026035200	New Orleans Legacy	Alexandra Ripley	1987	Simon &amp; Schuster	491	23	12.70 x 12.70	FR	science fiction
0026098407	FOR COLORED GIRLS WHO HAVE CONSIDERED SUICIDE WHEN THE RAINBOW IS ENUF	Ntozake Shange	1977	Scribner	414	24	20.96 x 26.04	SP	textbook
0026100800	The SELKIE	Charles Sheffield	1982	Scribner	588	1	12.70 x 12.70	ENG	alternate history
0026284707	Men at Work: The Craft of Baseball	George F. Will	1990	Simon &amp; Schuster	102	21	20.96 x 26.04	ENG	fantasy
0026866528	Motion Measures	Prentice Baptiste	N/A	Mcgraw-hill Inc	383	4	20.96 x 26.04	ENG	textbook
0026885522	Alf: Mission to Mars	Robert Loren Fleming	1987	Holmes &amp; Meier Publishers	640	5	20.96 x 26.04	SP	satire
002700290X	Some Other Summer	C. S. Adler	1982	Simon &amp; Schuster Merchandise &amp;	382	3	29.85 x 29.85	ENG	encyclopedia
0027253716	The Watchers	Helen Cresswell	1994	Simon &amp; Schuster Children's Publishing	439	7	20.96 x 26.04	ENG	home and garden
0027253805	Bagthorpes Haunted: Being the 6th Part of the Bagthorpe Saga (Cresswell, Helen. Bagthorpe Saga (New York, N.Y.), 6th Pt.)	Helen Cresswell	1985	Simon &amp; Schuster	70	9	20.96 x 26.04	FR	diary
0027255506	Absolute Zero (Cresswell, Helen. Bagthorpe Saga (New York, N.Y.), 2nd Pt.)	Helen Cresswell	1978	MacMillan Publishing Company.	305	6	20.96 x 26.04	FR	math
0027582000	The Lion, the Witch and the Wardrobe	C. S. Lewis	1983	MacMillan Publishing Company.	540	23	12.70 x 12.70	ENG	suspense
0027617319	Macmillan First Dictionary	Judith S. Levey	1990	Simon &amp; Schuster Children's Publishing	569	12	20.96 x 26.04	ENG	travel
0027624404	The DRAGON NANNY	C.G.L. Martin	1988	Atheneum	88	5	20.96 x 26.04	ENG	self help
0027655806	Lake Fear (Microdkid Mystery)	Ian McMahan	1985	Simon &amp; Schuster Merchandise &amp;	521	13	20.96 x 26.04	ENG	mystery
0027657108	Night Dive	Ann McGovern	1984	MacMillan Publishing Company.	543	1	20.96 x 26.04	ENG	review
0027754510	Mrs. Toggle's Zipper	Robin Pulver	1990	Simon &amp; Schuster	510	19	12.70 x 12.70	FR	horror
0028600819	The Weight Watchers Complete Exercise Book	Judith Zimmer	1995	John Wiley &amp; Sons Inc	208	18	20.96 x 26.04	FR	classic
0028603958	Betty Crocker's New Cookbook: Everything You Need to Know to Cook (8th ed)	Betty Crocker	1996	MacMillan Publishing Company.	126	13	20.96 x 26.04	ENG	business/economics
0028604105	How to Solve a Murder: The Forensic Handbook	Michael Kurland	1995	MacMillan Publishing Company.	475	3	17.15 x 16.83	SP	fairytale
0028604199	Once upon a More Enlightened Time: More Politically Correct Bedtime Stories	James Finn Garner	1995	MacMillan Publishing Company.	672	11	20.96 x 26.04	ENG	autobiography
0028604695	Frommer's Walking Tours: Paris (2nd Edition)	Lisa Legarde	1995	John Wiley &amp; Sons Inc	280	8	29.85 x 29.85	ENG	historical fiction
0028606612	Best Beach Vacations: The Carolinas &amp; Georgia (Frommer's Best Beach Vacations)	Lan Sluder	1996	John Wiley &amp; Sons Inc	566	6	29.85 x 29.85	ENG	poetry
0028606736	Baedeker New York (Baedeker's City Guides)	Rainer Eisenschmid	1996	Macmillan General Reference	540	25	20.96 x 26.04	ENG	drama
0028610865	The Complete Idiot's Guide to Managing Stress (Complete Idiot's Guide)	Jeff Davidson	1996	Macmillan Distribution	398	16	20.96 x 26.04	FR	drama
0028613228	The New York Public Library American History Desk Reference (New York Public Library Series)	Frommer	1997	MacMillan Publishing Company.	21	7	29.85 x 29.85	ENG	guide
0028613430	The Complete Idiot's Guide to Getting Rich (Complete Idiot's Guide)	Larry Waschka	1996	Macmillan Distribution	571	23	12.70 x 12.70	FR	history
0028615875	Nancy's Healthy Kitchen Baking Book	Nancy Fox	1997	Macmillan General Reference	700	24	20.96 x 26.04	ENG	health/fitness
0028617479	The Complete Idiot's Guide to Wills and Estates	Stephen M. Maple	1997	Alpha Books	395	5	20.96 x 26.04	FR	satire
0028620089	No Strings Attached: The Inside Story of Jim Henson's Creature Factory	Matt Bacon	1997	Macmillan General Reference	664	13	20.96 x 26.04	SP	drama
0028620666	Betty Crocker's Best of Baking : More Than 350 of America's Favorite Recipes	Betty Crocker	1997	Betty Crocker	249	19	29.85 x 29.85	ENG	autobiography
0028621697	The New York Public Library Desk Reference	Macmillan Publishing	1998	MacMillan USA	145	15	20.96 x 26.04	ENG	humor
0028623002	Complete Idiots Guide to Planning Your Trip to Europe	Reid Bramblett	1998	Macmillan Distribution	475	23	20.96 x 26.04	FR	comic book
0028623711	Frommer's New Mexico (Frommer's New Mexico, 5th ed)	Lesley S. King	1999	Frommer's	141	24	29.85 x 29.85	ENG	horror
0028626168	The Unofficial Guide to Walt Disney World 1999 (Serial)	Bob Sehlinger	1998	John Wiley &amp; Sons Inc	476	23	20.96 x 26.04	ENG	fantasy
0028626958	The Unofficial Guide to Having a Baby	Ann Douglas	1999	John Wiley &amp; Sons	697	23	20.96 x 26.04	ENG	historical fiction
0028627105	The Complete Idiot's Guide to Irish History and Culture	Sonja Massie	1999	Alpha Books	46	16	20.96 x 26.04	FR	suspense
0028630238	Betty Crocker's Best Bread Machine Cookbook : The Goodness of Homemade Bread the Easy Way	Betty Crocker	1999	Betty Crocker	232	17	20.96 x 26.04	ENG	textbook
0028631188	Webster's New World College Dictionary, Indexed Fourth Edition	Michael E.  Agnes	1999	Webster's New World	400	3	17.15 x 16.83	FR	textbook
0028639227	Complete Idiot's Guide to Learning Latin	Natalie Harwood	2000	Penguin Putnam	423	4	20.96 x 26.04	FR	short story
0028643380	The Complete Idiot's Guide to Philosophy (2nd Edition)	Jay Stevenson	2002	Alpha Books	20	6	12.70 x 12.70	FR	crafts/hobbies
0028650875	CIG to Managing People	Macmillan Publishing	1998	MacMillan Publishing Company.	30	6	20.96 x 26.04	FR	suspense
